song title,artist name
As It Was,Harry Styles
First Class,Jack Harlow
Heat Waves,Glass Animals
Big Energy,Latto
Enemy,Imagine Dragons X JID
Stay,The Kid LAROI & Justin Bieber
Don't Think Jesus,Morgan Wallen
Woman,Doja Cat
Super Gremlin,Kodak Black
Ghost,Justin Bieber
Thats What I Want,Lil Nas X
Bad Habits,Ed Sheeran
abcdefu,GAYLE
Shivers,Ed Sheeran
Cold Heart (PNAU Remix),Elton John & Dua Lipa
Easy On Me,Adele
Need To Know,Doja Cat
Save Your Tears,The Weeknd & Ariana Grande
One Right Now,Post Malone & The Weeknd
In A Minute,Lil Baby
Levitating,Dua Lipa
'Til You Can't,Cody Johnson
Industry Baby,Lil Nas X & Jack Harlow
MAMIII,Becky G X Karol G
Bam Bam,Camila Cabello Featuring Ed Sheeran
Hrs And Hrs,Muni Long
We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast"
Right On,Lil Baby
Never Say Never,Cole Swindell / Lainey Wilson
Doin' This,Luke Combs
Wasted On You,Morgan Wallen
AA,Walker Hayes
Good 4 U,Olivia Rodrigo
Sweetest Pie,Megan Thee Stallion & Dua Lipa
Fingers Crossed,Lauren Spencer-Smith
I Hate U,SZA
Boyfriend,Dove Cameron
To The Moon!,JNR CHOI & Sam Tompkins
You Right,Doja Cat & The Weeknd
Numb Little Bug,Em Beihold
Fancy Like,Walker Hayes
Sand In My Boots,Morgan Wallen
What Happened To Virgil,Lil Durk Featuring Gunna
Pushin P,Gunna & Future Featuring Young Thug
Beers On Me,"Dierks Bentley, BRELAND & HARDY"
The Motto,Tiesto & Ava Max
She's All I Wanna Be,Tate McRae
When You're Gone,Shawn Mendes
Buy Dirt,Jordan Davis Featuring Luke Bryan
About Damn Time,Lizzo
Shake It,"Kay Flock, Cardi B, Dougie B & Bory300"
Light Switch,Charlie Puth
If I Was A Cowboy,Miranda Lambert
Peru,Fireboy DML & Ed Sheeran
Flowers,Lauren Spencer-Smith
Nail Tech,Jack Harlow
Freaky Deaky,Tyga X Doja Cat
23,Sam Hunt
Trouble With A Heartbreak,Jason Aldean
Broadway Girls,Lil Durk Featuring Morgan Wallen
Heart On Fire,Eric Church
No Love,Summer Walker & SZA
Surface Pressure,Jessica Darrow
Slow Down Summer,Thomas Rhett
Flower Shops,ERNEST Featuring Morgan Wallen
Never Wanted To Be That Girl,Carly Pearce & Ashley McBryde
Me Or Sum,"Nardo Wick, Lil Baby & Future"
Ahhh Ha,Lil Durk
Give Heaven Some Hell,HARDY
Handsomer,Russ Featuring Ktlyn
Envolver,Anitta
Do We Have A Problem?,Nicki Minaj X Lil Baby
Get Into It (Yuh),Doja Cat
Rumors,Gucci Mane Featuring Lil Durk
Take My Name,Parmalee
Damn Strait,Scotty McCreery
Circles Around This Town,Maren Morris
In My Head,Lil Tjay
Nobody Like U,4*TOWN (From Disney And Pixar's Turning Red)
Soy El Unico,Yahritza y Su Esencia
I Love You So,The Walters
Come Back As A Country Boy,Blake Shelton
GINE,6ix9ine
City Of Gods,"Fivio Foreign, Kanye West & Alicia Keys"
Complete Mess,5 Seconds Of Summer
Leave You Alone,Kane Brown
Bones,Imagine Dragons
Banking On Me,Gunna
She Likes It,Russell Dickerson & Jake Scott
Pressure,Ari Lennox
Desesperados,Rauw Alejandro & Chencho Corleone
Over,Lucky Daye
The Family Madrigal,"Stephanie Beatriz, Olga Merediz & Encanto Cast"
Hate Our Love,Queen Naija & Big Sean
Dos Oruguitas,Sebastian Yatra
P Power,Gunna Featuring Drake
Money So Big,Yeat
Blick Blick!,Coi Leray & Nicki Minaj
Fall In Love,Bailey Zimmerman
X Ultima Vez,Daddy Yankee & Bad Bunny
